Seq,DateListed,Name,Ethnic,Region,Access,TravelItinerary,TouristSeason,TravelDays,TravelCharacteristics,TribeInformation,ImportantRite,Greetings,AssociationPopulation,CostPerPerson,Accommodation,Group
11,"20130901","學習土地倫理~巒山森林博物館","布農族","臺東縣延平鄉、海端鄉","","第一天：海端鄉(布農族文物館) →拉瑪達星星雕塑像(布農族抗日英雄) →-南橫東段精華(霧鹿部落、古炮臺、霧鹿國小、霧鹿事件) →霧鹿古道、溫泉→延平鄉紅葉少棒紀念館→布農部落→鸞山森林博物館→夜間觀察、大自然的交響樂章【早餐：自理  午餐：天龍飯店  晚餐：森林博物館(自己劈柴煮飯)】第二天：森林早餐→向土地、森林學習(生態智慧教育、獵人學校、布農族古老傳說、整地、種樹或農作物→森林午餐→駐村藝術家參訪~九鳥陶燒→鹿野火車站 【早餐：森林早餐  午餐：森林野味餐  晚餐：自理】","","兩個太陽一個月亮"," 走訪東部布農族郡社群~南橫東段部落風景，探訪1943年黑澤隆朝採集布農歌謠~祈禱小米豐收歌(八部合音)的原鄉，歷史事件與族人遷移史。 重回1968年紅葉少棒打敗日本和歌山明星棒球的故事，它是臺灣棒球王國關鍵點，也是起點，那些紅葉小將的故事您知道嗎?他們在那裏? 駐村藝術家~九鳥陶燒，廖光亮帶您進入原住民的陶藝世界。 阿力曼自東華大學研究所畢業後，回到故鄉巒山，成立一個連地標都沒有的森林博物館，向土地學習一顆尊敬、謙卑的心，在森林裏您試著去聆聽，去攀爬，去感受森林為人類所做的一切。這是一個有生命、會呼吸，連樹都會走路的森林博物館。 您多久沒聽得到風、鳥、蟲的聲音，您多久沒有與星星對話？這趟行程可以讓自己安靜一下，您可以聽到森林在說話。","","","","","","","2013年60條原住民族深度旅遊路線"
12,"20130901","來去烏來住一晚~文化．遇見繽紛泰雅(二日遊)","泰雅族","新北市烏來區","","第一天：新店捷運站相見歡→內洞國家森林遊樂區→泰雅傳統美食→瀑布公園步道、青蛙生態→泰雅編織DIY體驗→泰雅風味晚餐→飯店泡湯第二天：飯店或民宿早餐→樂舞表演→烏來瀑布→烏來遊客服務中心→享用泰雅風味午餐→泰雅博物館→泰雅玩玩樂→烏來老街→烏來吊橋→新店捷運站再見","","兩個太陽一個月亮"," 內洞國家森林遊樂區    內洞國家森林遊樂區自然生態保存良好，林相多變且富含著相當豐富的動物資源，且內洞國家森林遊樂區內的陰離子含量是全臺森林遊樂區之冠，為體驗森林浴的最佳場所。 瀑布公園步道、青蛙生態    瀑布公園步道，此步道入口種植近百棵櫻花，走過櫻花道後，進入眼簾全是一片綠油油的森林生態。瀑布公園步道約3公里，途中經過蛙之谷，有成群的青蛙，呱呱呱歡迎大家的到來。 烏來瀑布＋勇士廣場    觀賞烏來風景特定區的代表景觀之一的烏來瀑布，瀑布高達80公尺、寬約10公尺，在日據時代舊稱為「雲來之瀧」的美譽。遠望瀑布有如白鍊一樣，當雨量充沛時烏來瀑布會分成兩道飛泉，自山谷撲簌而下，形成烏來天空雲霧瀰漫，增添浪漫的氣息，若在炎炎夏日來到烏來瀑布欣賞水景，讓人心情舒暢。您也可以前往泰雅編織協會，選購泰雅手工藝品。 泰雅博物館    由專業導覽人員，講述泰雅族獨特的文化，及泰雅族人於烏來的生活，讓遊客更認識泰雅族人。 烏來老街    烏來老街有了「黃金街」的封號。烏來街以具有原住民特色的商店為主，如：小米麻糬、泰雅編織、飾品、竹筒飯、小米酒等，另外也有飯店、餐飲業者提供遊客泡湯服務。要是想購買原住民的藝品、泡湯的相關物品，或是想品嘗一頓原住民大餐，在烏來街都可以一次解決！ 烏來吊橋    烏來吊橋係位烏來立體停車場附近，於烏來老街及烏來觀光大橋間為一橫跨南勢溪之景觀人行吊橋，長度105公尺，佇立於吊橋之上，登高俯看南勢溪河岸景觀，又可北觀紅色觀光拱橋，南望南勢、桶后溪匯流及露天溫泉之特殊景緻。","","","","","","","2013年60條原住民族深度旅遊路線"
13,"20130901","烏來溫泉.野要獵人學野趣體驗一日遊","泰雅族","新北市烏來區","","一日遊：新店捷運站→屈尺(泰雅遷移史) →泰雅博物館館內導覽→野要獵人學校(竹筒飯DIY、野炊進行式 (獵人食物分享屋) 、弓箭DIY / 泰雅射日傳說、狩獵DIY / 泰雅獵人技能、→強羅櫻花公園步道導覽→烏來瀑布商圈、泡湯→新店捷運站","","一個太陽","野要森林獵人學校:最靠近都會區的獵人體驗區，在這裏您必須學習觀察環境、尊重傳統自然禁忌、炊煮竹筒飯、製作陷阱、泰雅歌舞演習、獵人智慧、張弓射箭的體驗。","","","","","","","2013年60條原住民族深度旅遊路線"
14,"20130901","泰雅生態文化體驗(二日遊)","泰雅族","桃園縣復興鄉","","第一天：台北火車站→桃園火車站→桃園縣原住民文化會館→高義蘭部落(部落文化導覽、泰雅生態文化體驗)→部落風味午餐→Hnuway水資源生態教育步道→泰雅DIY→原味晚餐(泰雅灶腳)→安排達觀農場住宿第二天：享受早晨陽光→早餐→拉拉山神木→下巴陵午餐(納桑麻谷餐廳)→爺亨部落(遠眺爺亨梯田)→羅浮雙橋→斯嘎蓋打啦(回程)","","兩個太陽一個月亮"," 桃園縣原住民文化會館    位在大溪鎮，平日可提供為本縣原住民活動、教育訓練之場所，館內不定期有原住民工藝展覽，假日則兼具市集之功能，是認識桃園境內原住民文化的最佳場所。 高義蘭部落    高義(高義蘭)部落，舊稱卡維蘭，分下、中、上三個聚落；下高義即位在北橫公路旁，中高義位在海拔8、900公尺的山腹，上高義逾千公尺(接近山頂)。該地的風景以人文特色為主，居民為泰雅族的卡澳灣群(鄰近為大嵙崁群)，務農維生，農產品以水蜜桃、桂竹為主；此外中、上高義部落的展望點很好，可以一覽夫婦山全景、北桃屋脊群山(達觀山、插天山...)。 Hnuway水資源生態教育步道    高義蘭部落經由高義社區發展協會的努力，在Hnuway溪邊，設置生態步道。步道全程隨著溪岸的地形，或鋪天然木板、或架棧道、或砌石階，施工完全不破壞自然為出發點。步道盡頭是一個神秘瀑布，在溪畔的高腳涼亭是觀瀑最佳地點。 拉拉山神木    自然保護區境內森林為針闊葉樹混淆林組成之原始天然林，以檜木巨木群最著名，林間棲息著珍貴稀有的動、植物資源，唯一完整的森林生態體系。 爺亨部落    爺亨部落【Zihing】位在桃園縣復興鄉三光村，爺亨擁有復興鄉內僅次於角板山的第二大台地，本社的泰雅語地名叫做爺亨，意為上午陽光難以照到之地，因為本地，東、南兩邊都被高聳的山頭圍峙，每天上午都要很晚以後才會照到陽光。 羅浮雙橋    泰雅族人從小必須接受訓練，期望能成為一位正直、勇敢、守紀律並敬重祖靈的泰雅人【真正的人】，透過部落美麗的羅浮雙橋，訴說神靈之橋的故事，跨越這一道彩虹橋，成為勇敢正直的【泰雅巴萊】。","","","","","","","2013年60條原住民族深度旅遊路線"
15,"20130901","泰雅合流部落文化之旅(一日遊)","泰雅族","桃園縣復興鄉","","一日遊:台北火車站→桃園火車站→桃園縣原住民文化會館→佐久間左馬太紀念碑→復興鄉歷史文化館→合流部落風味餐→部落小米農作體驗→DIY活動→羅浮雙橋→桃園火車站→台北火車站","","一個太陽"," 桃園縣原住民文化會館    位在大溪鎮，平日可提供為本縣原住民活動、教育訓練之場所，館內不定期有原住民工藝展覽，假日則兼具市集之功能，是認識桃園境內原住民文化的最佳場所。 佐久間佐馬太紀念碑    佐久間左馬太是日治時代第五任臺灣總督共9年，任期最長，他也是影響臺灣原住民至鉅的統治者。日治時代被稱為「理蕃總督」，也因理蕃有功，日本政府為表揚他的政績，為他打造一處紀念碑。現已改建成一處休憩的涼亭，為角板山最舒適的休憩地點。 復興鄉歷史文化館    成立於民國92年，是復興鄉泰雅原住民文化介紹中心，館內利用諸多多媒體介紹復興鄉泰雅族傳統文化及復興鄉的歷史，也是認識復興鄉泰雅族最佳地點。 羅浮雙橋    泰雅族人從小必須接受訓練，期望能成為一位正直、勇敢、守紀律並敬重祖靈的泰雅人【真正的人】，透過部落美麗的羅浮雙橋，訴說神靈之橋的故事，跨越這一道彩虹橋，成為勇敢正直的【泰雅巴萊】。","","","","","","","2013年60條原住民族深度旅遊路線"
16,"20130901","泰雅庫志部落親水之旅(一日遊)","泰雅族","桃園縣復興鄉","","一日遊：台北火車站→桃園火車站→桃園縣原住民文化會館→庫志部落→庫志部落風味餐→部落生態池巡禮→鐵木瀑布→竹頭角部落→桃園火車站→台北火車站","","一個太陽"," 桃園縣原住民文化會館    位在大溪鎮，平日可提供為本縣原住民活動、教育訓練之場所，館內不定期有原住民工藝展覽，假日則兼具市集之功能，是認識桃園境內原住民文化的最佳場所。 庫志部落(生態池巡禮)    庫志部落位在庫志溪上游，地形狹窄，只有部落地域較為開闊，海拔約600公尺。庫志溪源自東眼山，東南背塔開山，舊部落在更深山內，因生活條件惡劣，才遷到現址，現計約20戶家，務農或種香菇，多數青年至外地打工為生。生態池區，其周邊有野薑花、香蒲、輪傘草、銅錢草等水生植物。 鐵木瀑布    霞雲村內的庫志溪上有一個非常美麗的鐵木瀑布，因為道路與瀑布間有樹木及長草隔著，不注意時就不會注意到。從庫志橋邊下，順著步道向溪邊走，便可以看到岸邊有一條木棧道，經由木棧道約15分鐘便可以到達鐵木瀑布。 竹頭角部落    當地居民表示其祖先於乾隆年間由南投遷來，社名喀拉，一為大社；因發音像閩南與之【角】，因而得名竹頭角。此村，地平廣闊，是本村最大聚落，村辦公處、國小、派出所均設於此，居民種綠竹、果樹或雜種，但青壯年大多外出打工以維生活。","","","","","","","2013年60條原住民族深度旅遊路線"
17,"20130901","泰雅歷史文化變遷探源(二日遊)","泰雅族","桃園縣復興鄉","","第一天：台北火車站→桃園火車站→桃園縣原住民文化會館→三民教堂→復興鄉歷史文化館→角板山午餐→霞雲坪部落→泰雅原民生態環境認識→部落原味晚餐→安排角板山青年活動中心住宿第二天：享受早晨陽光→早餐→溪口吊橋→溪口台部落→泰雅DIY→部落原味午餐→樂信瓦旦紀念公園→斯嘎蓋打啦(回程)","","兩個太陽一個月亮"," 桃園縣原住民文化會館    位在大溪鎮，平日可提供為本縣原住民活動、教育訓練之場所，館內不定期有原住民工藝展覽，假日則兼具市集之功能，是認識桃園境內原住民文化的最佳場所。 三民天主教堂    全台唯一紋臉的聖母瑪麗亞，傳導巴義慈神父的傳教精神，看天主教如何在原鄉部落深耕。 復興鄉歷史文化館    復興鄉歷史文化館成立於民國92年，是復興鄉泰雅原住民文化介紹中心，館內利用諸多多媒體介紹復興鄉泰雅族傳統文化及復興鄉的歷史，且有定時導覽及多媒體導覽等服務，此文化館對復興鄉泰雅文化的典藏富有重大意義。 霞雲坪部落    霞雲坪部落【Hbun】霞雲坪原住民則稱為哈本，意為飛射如箭，亦作合脗。這幾年部落深度之旅大受歡迎，成功行銷復興鄉的好山好水，年輕一代陸續返回山上，投入部落的社區營造，霞雲坪部落以生態復育為出發，成功的將部落恢復以往的風華。 溪口台部落    溪口台部落【Rahaw 拉號】，泰雅居民稱之Rahaw意思為延伸的台階，溪口台部落位於大漢溪左岸，那結山北走支脈台地，在角板山對面，分為上溪口台與下溪口台兩個聚落。 樂信瓦旦紀念公園    樂信瓦旦是泰雅族人的意見領袖，一生為部落的生活發展奔波，卻在白色恐怖中遇害，曾經沒名於山林之中；1993年樂瓦旦紀念公園銅像落成揭幕，再次望向他所繫念的部落…。現在樂信瓦旦紀念公園除了是紀念泰雅先烈的地方，更因尤幹樂信等人在紀念園內種植近百株櫻花，成為熱門賞櫻的地點。","","","","","","","2013年60條原住民族深度旅遊路線"
18,"20130901","泰雅千年~ SMANGUS-泰崗伊汎長老秘密花園有機餐","泰雅族","新竹縣尖石鄉","","第一天：竹東→尖石鄉(錦屏大橋泰雅雕像) →那羅村天主教堂(電影老師斯卡也答那的回憶，蘇麗雲修女26歲從義大利帶著上的愛，來到那落照顧部落小孩，傳上帝的愛)泰崗部落(伊汎長老的密秘花園、有機疏果區、爺爺的博物館、養生醋) →司馬庫斯部落導覽(Koraw自然生態公園，森林小學、基督長老教會、司立富觀瀑步道) →部落咖啡屋→分享之夜(司馬庫斯的共管機制、傳統GAGA文化與現代主流對話)【早餐：自理  午餐：伊汎長老松木烤肉+有機蔬果餐  晚餐：司馬庫斯部落餐廳】第二天：森林的早晨→檜木原始森林健行(生態界譽為全世界保存紅檜扁柏最原始森林，部落專人導覽泰雅族傳統領域與生態保育、小米田種植)，來回健行約5小時→內灣老街(懷舊小吃與劉欽興漫畫館) →竹東【早餐：活力早餐  午餐：司馬庫斯部落參廳  晚餐：內灣老街美食(自理)】","","兩個太陽一個月亮"," 巨木群    根據 1996 年林務局公布的排行，第二名和第三名的巨木都位於司馬庫斯的巨木區。這兩棵司馬庫斯的巨木都屬於紅檜，第二名的巨木周長 20.5 公尺，第三名的巨木周長 19.7 公尺。後者可以由司馬庫斯部落走通往巨木的步道來一睹其真面目，其主幹可容納二十多人手牽手環抱。除了目的地之外，步道沿途的風光及動植物亦是值得觀察的對象。往巨木群全程約 5.2 公里，步行來回約需費時 4-5 小時。","","","","","","","2013年60條原住民族深度旅遊路線"
19,"20130901","部落旅行．泰雅族☆認識泰雅文化","泰雅族","新竹縣尖石鄉","","第一天：台北→司馬庫斯→吃飯→祈福、部落導覽→射箭體驗→CHECK IN→營火晚餐→晚安第二天：晨喚、早餐→出發巨木群→竹藝創作→依依不捨．回程","","兩個太陽一個月亮"," 司馬庫斯在雲霧潦繞的山裡，有一群人依著泰雅Goga的規範生活著，尊重祖靈與自然生態，在森林裡過著真正屬於人的生活。 巨木群    泰雅人在睡夢之際隱約聽到上帝指示在司馬庫斯也有巨木，之後也想起祖先所說往鴛鴦湖方向有紅水及大樹的事，於是在回到部落後發動本地居民前往尋找巨木，經過兩三個月的尋找才發現了壯觀的巨木區。我們也來一睹這應許之地，巨木的丰采。","","","","","","","2013年60條原住民族深度旅遊路線"
20,"20130901","漫遊原鄉部落．泰雅．司馬庫斯","泰雅族","新竹縣尖石鄉","","第一天：台北集合→錦屏景觀大橋→青蛙石遊憩區→司馬庫斯大橋→司馬庫斯部落第二天：司馬庫斯→司馬庫斯巨木群→台北火車站","","兩個太陽一個月亮"," 青蛙石遊憩區    話說這塊巨大的青蛙石面朝那羅部落蹲踞於溪谷中，突出一雙大眼睛向前巴望，傳說係緣於這隻大青蛙當年為追食一隻蚊蠅，偏巧蚊蠅飛越嶺頭，大青蛙則被陡峭山壁阻絕去路，只好坐等在溪邊，歷經數百年，始終未見蚊蠅出現，久候的青蛙最後即風化成一塊巨石。 錦屏大橋    壯麗的錦屏大橋，被賦予虹橋象徵，彩虹是泰雅族祖先來往天界的要道，因此，橋身裡外兩側泥塑著一幅幅關於泰雅族美麗的射日、靈鳥、祭祀、耕稼等先民的生活與傳說故事，工藝技巧神奇，形象鮮活，加上矗立橋身上方，泰雅族出草、狩獵、天使、家族等藝術雕塑品，栩栩如生的手藝，都讓遊客止不住好奇心，駐足流連欣賞美麗虹橋，巧奪天工的生動圖騰。 生態公園步道    司庫庫斯內的生態公園，深山叢林裡，清爽微風襲來，鳴禽走獸的聲音繚繞，彷彿置身人間仙境，豐富的自然生態讓你印記著這森林印象。 司馬庫斯神木群    享受森林芬多精的洗禮，一覽原始森林的面貌！此時海拔高度已接近兩千公尺，最大的一株神木就屹立在眼前，泰雅族人口中２５００歲的大老爺一出現，眾人無不膜拜，行走其間，森林的氣味附著全身，任何品牌的香水都無法比擬！（全程約需５小時）","","","","","","","2013年60條原住民族深度旅遊路線"
21,"20130901","東河賽夏及鹿場部落體驗","賽夏族","苗栗縣南庄鄉","","一日遊：嘎嘎歐岸文化部落→早餐後出發→東河吊橋→瓦祿工作坊(參觀賽夏傳統織布)→賽夏文物館→賽夏美工藝坊→雷女紋薏米珠飾品→向天湖一帶休閒農場午餐、採買高冷蔬菜→原杉休閒坊→買段木香菇→三角湖→石壁染織工坊(體驗植物染)-石壁峽谷→神仙谷→斜坑工作坊→鹿場部落籐編DIY→南庄晚餐→賦歸","","一個太陽"," 向天湖    當地人又稱為仰天湖，海拔738公尺，係山頂一盆地。欲往向天湖必須經過一座吊橋，再經過彎彎曲曲的山腰小徑，行程約需一小時才能到達。當地耆老說：幾百年前該大湖有如人造水庫，水很深，湖內天然生長魚類不計其數，因見該湖在山頂上，仰向天空，因此取名仰天湖。湖水很深，具有相當危險性，行經此湖或到此釣魚之人，怕不慎失足墜湖，會在身上綁一條粗繩，另一端繫於湖旁的樹幹以防萬一。經過幾百年後，湖水已不復當年，加上四周土壤流入湖底，天然的變遷，使該湖變成適合耕種的田地。民國七十幾年時省政府在此建構了人工湖，此處住有二十餘戶賽夏族，每兩年舉行一次巴斯達隘（即矮靈祭），吸引了許多人士上山觀賞通宵達旦的原住民祭典儀式。 三角湖    三角湖俗稱鳳陽谷，名稱源自於湖旁的一座鳳陽橋。三角湖位於東河村東側，海拔 250 公尺 ，該湖發源於鳥嘴山之小溪，流經山間，終至於山底匯集成湖，也是中港溪支流之一。它最大的特色在於，每一個小水潭都是三角形的，由最上游到最下游都是如此，是一個很特殊的地方，這也就是三角湖名稱的由來。「三角湖」因為有大東河的切割，所以這裡有瀑布、深潭、峽谷等各式各樣的地形，很容易吸引遊客駐足戲水，但因目前週邊設施尚未規劃完成，遊客最好保持遠觀，不要冒險戲水。 神仙谷    舊稱「死亡谷」，原為泰雅族人祖先的墳場。神仙谷位在距離鹿場前二公里，恰當風美溪和比林溪交會的溪谷中，是鹿場風光中最具特色的一個據點。前苗栗縣長謝金汀於民國七十二年五月蒞臨參觀而改名為神仙谷。神仙谷相當開闊，共分為上下兩層，水流至此，迴溢流竄，將岩床勾劃出許多道凹溝，形成優美的紋路。下層與上層落差約 30 公尺 ，是由六、七層的岩階組成水流從上層傾瀉而下，形成多道奔騰的水瀑，綿延相續，姿態各異，瀑下還形成澄清無比的水潭。 鹿場    鹿場原名「久布斯」（泰雅族語），是本縣最偏遠的高山地區。鹿場是中港溪上源最 遠的泰雅族聚居之地，由於當地有地層變動的現象，因此遷村移到南庄村、東江村，但大部分居民仍回到鹿場種植香菇。 據說數百年前，該地荒無人煙，經常出現鹿蹤或其他野獸，原住民常至此打獵維生，唯恐野獸傷害人，遂拼命追殺野獸，結果這些野獸全部躲進鹿場山區，而原住民也發現這些野獸之中，以鹿為最多，遂取名為鹿場。 賽夏文物館    向天湖畔的賽夏族文物館，保存、傳承了很多賽夏族文物。文物館占地約 6 千平方公尺 ，一樓規畫文物販賣部、餐廳、典藏室等，二樓規畫服務台、主題展示空間及多媒體簡報室，三樓則為主題展示區、姓氏牆、會客室等。文物館外觀採賽夏族傳統建築的竹瓦、竹牆特色，館內、館外有大量賽夏族特有竹編、苧麻織紋與原住民創作。一樓餐廳緊臨向天湖畔，大扇玻璃窗飽覽湖光山色，二樓戶外廣場有一座賽夏族原型實體模型屋，忠實呈現賽夏族人的造屋特色。 東河吊橋    裝飾著原住民圖騰的東河吊橋，就位於東河國小旁， 是東河部落的特色， 也連繫了東河村兩岸的聚落。 東河吊橋與中加拉灣吊橋兩座吊橋橫跨東河溪，連接了中加拉灣 與東河，形成了一個環形步道， 走在吊橋上搖搖晃晃的，十分刺激。 走一圈可以體驗部落生活及生態景觀之美。 石壁峽谷    位處加里山支脈旁，因山脈有一處天然的峭壁，當地泰雅人稱她為「Raisinay」，為「峭壁」之意。巍峨綿延的大石壁岩勢陡峻、粗獷壯觀，逢雨季時，壁上會形成多條水瀑，十分壯觀。","","","","","","","2013年60條原住民族深度旅遊路線"
22,"20130901","雪見舞動森林~天狗部落．象鼻古道健行","泰雅族","苗栗縣泰安鄉","","第一天：卓蘭→象鼻部落古道健行(長3公里的日據理蕃古道)→野桐工坊文化園區(從博物館找回泰雅傳統服飾，讓失傳沒落的編織文化再現)→泰雅營火晚會(頭目營火相傳、泰雅歌舞、泰雅婚禮、打麻糬)→夜宵(碳烤燒)【早餐：自理  午餐：部落廚房  晚餐：達拉灣文化園區】第二天：天狗部落與紋面耆老有約→雪見森林遊憩區(臺灣首座生態公園示範區)、司馬限林道、二本松駐在所丸田炮臺、舞動森林劇場→大安溪部落共同廚房(蔬果、農特、工藝、美食)→卓蘭","","兩個太陽一個月亮"," 象鼻古道    全長大約三公里，兩側種植著茂密的桂竹林，修竹參天，夏天非常涼爽。在原始資料上，古道被稱為「南北縱貫道路」，用以運輸物品。古道上的象鼻觀護所，是日治時期為理蕃政策所設的眾多觀護所之一，用來關犯人或部落中不乖的族人。目前只剩下廢墟，遊客仍可看到觀護所遺留的石砌牆面。 野桐工坊泰雅染織文化園區    這個世界往往是一小部份人的堅持而改變了這個世界，原住民文化400年來受到不同政權統治、歸順、漢化、集團移住遷村，總是會有堅持的族人重新縫合歷史，重現傳統斬新的文化。大安溪畔河床台地，野桶工坊主人尤瑪．達陸，從她的外祖母身上，用著傳統的木箱織布機，外祖母用口述及身教的方式，一點一滴教會了尤瑪.達魯各種織布的技巧，造就了實務與學術兼俱國寶級泰雅染織編織大師，工坊園區有編織工藝成品、 園區的歷史簡介、苧麻纖維處理過程、 園區工藝家…，從「形、色、紋、質」來破解泰雅菱形紋泰雅編織密碼。 丸田砲台遺址    二本松解說站原為日治時期的駐在所，視野廣闊，可以俯瞰大安溪河谷。往內行走900公尺可以抵達丸田砲台遺址，當年居高臨下架設的砲台，是為管理鄰近部落的泰雅族人，而「丸田」則是紀念北勢戰役中殉職的日本警捕丸田清而命名。解說站內設有「丸田砲台文史紀念館」，陳列日治時期雪見地區的史料。","","","","","","","2013年60條原住民族深度旅遊路線"
23,"20130901","2013台中原遊會?原鄉部落巴士","泰雅族","臺中市和平區","","","","一個太陽","","","","","","","","2013年60條原住民族深度旅遊路線"
24,"20130901","探索布農族最神秘面紗~武界.曲冰遺址","布農族","南投縣仁愛鄉","","","","兩個太陽一個月亮","","","","","","","","2013年60條原住民族深度旅遊路線"
25,"20130901","與Gaya的約定~賽德克巴萊","賽德克族","南投縣仁愛鄉","","","","兩個太陽一個月亮","","","","","","","","2013年60條原住民族深度旅遊路線"
26,"20130901","邵族部落文化采風行","邵族","南投縣魚池鄉","","","","兩個太陽一個月亮","","","","","","","","2013年60條原住民族深度旅遊路線"
27,"20130901","布農黑黑王國的奇幻螢光","布農族","南投縣信義鄉","","","","兩個太陽一個月亮","","","","","","","","2013年60條原住民族深度旅遊路線"
28,"20130901","東埔布農部落二日遊","布農族","南投縣信義鄉","","","","兩個太陽一個月亮","","","","","","","","2013年60條原住民族深度旅遊路線"
29,"20130901","望鄉布農度假部落一日遊","布農族","南投縣信義鄉","","","","一個太陽","","","","","","","","2013年60條原住民族深度旅遊路線"
30,"20130901","湯泉美景與布農紫色寶石","布農族","南投縣信義鄉","","","","兩個太陽一個月亮","","","","","","","","2013年60條原住民族深度旅遊路線"
31,"20130901","發現巴庫拉斯~布農族古老部落自然遺址探索","布農族","南投縣信義鄉","","","","兩個太陽一個月亮","","","","","","","","2013年60條原住民族深度旅遊路線"
32,"20130901","開門見玉山~望鄉部落.八通關古道","布農族","南投縣信義鄉","","","","兩個太陽一個月亮","","","","","","","","2013年60條原住民族深度旅遊路線"
33,"20130901","天空特別藍，水特別清的藍色部落--里佳","鄒族","嘉義縣阿里山鄉","","第一天：台北火車站出發→到達嘉義火車站→阿將的家(午餐)→前往里佳→里佳(嘉娜民宿入房)→大自然晚餐(野外廚房) →賞螢→嘉納民宿談天說地→觀星→一夜好眠第二天：早餐→社區導覽：密谷瀑布、風流洞、不分享石..等步道解說→離開里佳→游芭絲風味餐→離開游芭絲→嘉義火車站→台北火車站註:每年春夏之際(4-6月)為螢火蟲最多的季節","","兩個太陽一個月亮"," 里佳部落    一直以來，里佳就以「世外桃源」著稱，此地有許多森林步道，還有極具特色的「大石板」景觀──寬達數百公尺的白色巨石塊，登至石頂可鳥瞰山美村的達娜伊谷，景致之優美，可想而知。由於不受外界汙染，里佳的自然生態保存良好，天空、河水都呈現清澈的藍色，因此阿里山自然風景管理處將之稱為「藍色部落」。這裡還有許多稀有物種，運氣好的話，走在山裡小徑不時會和白鼻心、穿山甲、麝香貓等相遇，甚至可瞥見稀有保育鳥類藍腹鷳在林中的身影。 嘉娜民宿    嘉娜民宿的主人 是「鄭」姓鄒族人，原住民語「鄭」發音為「迪亞嘉娜」，故以嘉娜命名。起初喜愛邀約好朋友到山上分享原始大自然生態的美麗，逐漸演變成為今日的嘉娜民宿，開放給更多有緣人。 風流洞風景區    風流洞步道，約莫 四百公尺 路程。那兒有情人瀑布、岩壁石牆、千層岩瀑布、鬼屋、一線天和風流洞等自然景觀。鄒族的妖魔鬼怪和眾神統稱為鬼。鬼屋為一巨岩，乃里佳守護神居住的地方。    風流洞的來名據傳是因為鄒族有服役婚的習俗，當男子有意娶妻時，必須先到女方家工作三年，此期間雙方不可以越軌，於是便有情人來此岩洞繾綣，所以風流洞可是見證鄒族特有婚俗的歷史見證人呢！ 樂野部落--阿將的家    阿將，鄒族人，是一個傳奇人物，也是一個在原住民族身上看到，對生命與喚回部落原始理念的堅持，不懂放棄、只會愈挫愈勇，值得我們尊敬的人物。 他是賀伯颱風重創最嚴重的受災戶，大自然奪走他的家，看他如何靠自己的雙手，一磚一瓦的蓋出阿將的家。 賞螢    台灣螢火蟲有62種，阿里山就囊括了23種，遊期是3月下旬至5月的大發生期，是黑翅螢最多最亮的時刻，加上大端黑螢來湊熱鬧，螢光趴踢熱鬧登場。","","","","","","","2013年60條原住民族深度旅遊路線"
